Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
,,,,,,
Test Cases/3 Stock/3-5 Batch number maintain/3-5 Batch number maintain-Edit,Chrome 74.0.3729.169,,2019-06-05 10:24:26,2019-06-05 10:24:28,1.746s,PASSED
"click(findTestObject(""Object Repository/3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-edit/Sort by number""))",Chrome 74.0.3729.169,,2019-06-05 10:24:26,2019-06-05 10:24:26,0.194s,PASSED
"click(findTestObject(""Object Repository/3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-edit/Sort by number""))",Chrome 74.0.3729.169,,2019-06-05 10:24:26,2019-06-05 10:24:27,0.139s,PASSED
XXX = Time,Chrome 74.0.3729.169,,2019-06-05 10:24:27,2019-06-05 10:24:27,0.001s,PASSED
"click(findTestObject(""Object Repository/3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-edit/Select by number"", [""xxx"":XXX]))",Chrome 74.0.3729.169,,2019-06-05 10:24:27,2019-06-05 10:24:27,0.160s,PASSED
"click(findTestObject(""Object Repository/3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-edit/Edit button""))",Chrome 74.0.3729.169,,2019-06-05 10:24:27,2019-06-05 10:24:27,0.209s,PASSED
"sendKeys(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-edit/Life days""), Keys.chord(CONTROL, ""a""))",Chrome 74.0.3729.169,,2019-06-05 10:24:27,2019-06-05 10:24:27,0.149s,PASSED
"sendKeys(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-edit/Life days""), Keys.chord(DELETE))",Chrome 74.0.3729.169,,2019-06-05 10:24:27,2019-06-05 10:24:27,0.091s,PASSED
"setText(findTestObject(""3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-edit/Life days""), ""60"")",Chrome 74.0.3729.169,,2019-06-05 10:24:27,2019-06-05 10:24:27,0.181s,PASSED
"click(findTestObject(""Object Repository/3 Stock/3-5 Btach number maintain/3-5 Btach number maintain-edit/Save button""))",Chrome 74.0.3729.169,,2019-06-05 10:24:27,2019-06-05 10:24:28,0.139s,PASSED
